channel_name,subscribers,subscribers_time,total_views,views_time,estimated_monthly_income_(low),estimated_monthly_income_(high)
Technology Connections,2680000,2025-02-22 14:54:45,351105217,2025-02-22 14:54:45,87776.3,1404420.87
Technology Gyan,14900000,2025-02-22 14:54:45,1473663692,2025-02-22 14:54:45,368415.92,5894654.77
House Technology,3070000,2025-02-22 14:54:46,1074080375,2025-02-22 14:54:46,268520.09,4296321.5
Rewa Technology,850000,2025-02-22 14:54:46,302110499,2025-02-22 14:54:46,75527.62,1208442.0
Primitive Technology,10900000,2025-02-22 14:54:46,1165885946,2025-02-22 14:54:46,291471.49,4663543.78
Technology For Teachers And Students,1640000,2025-02-22 14:54:46,160977008,2025-02-22 14:54:46,40244.25,643908.03
Afr Technology,4780000,2025-02-22 14:54:47,452211620,2025-02-22 14:54:47,113052.9,1808846.48
Classical Technology,52900,2025-02-22 14:54:47,19491765,2025-02-22 14:54:47,4872.94,77967.06
Technology Crunch,2610,2025-02-22 14:54:47,246824,2025-02-22 14:54:47,61.71,987.3
Bloomberg Technology,647000,2025-02-22 14:54:47,147052980,2025-02-22 14:54:47,36763.25,588211.92
Google Cloud Tech,1200000,2025-02-22 14:54:48,107197816,2025-02-22 14:54:48,26799.45,428791.26
Tamil Tech - Mrtt,4150000,2025-02-22 14:54:48,942344982,2025-02-22 14:54:48,235586.25,3769379.93
Kingston Technology,258000,2025-02-22 14:54:48,54767537,2025-02-22 14:54:48,13691.88,219070.15
Technology Tour,49700,2025-02-22 14:54:48,10347930,2025-02-22 14:54:48,2586.98,41391.72
In Depth Tech Reviews,173000,2025-02-22 14:54:49,33485175,2025-02-22 14:54:49,8371.29,133940.7
Buzz2Day Tech,404000,2025-02-22 14:54:49,58533488,2025-02-22 14:54:49,14633.37,234133.95
Tt Technology,630000,2025-02-22 14:54:49,126671279,2025-02-22 14:54:49,31667.82,506685.12
"Windows, Computers And Technology",122000,2025-02-22 14:54:49,52736764,2025-02-22 14:54:49,13184.19,210947.06
Pico Technology,5870,2025-02-22 14:54:50,6395577,2025-02-22 14:54:50,1598.89,25582.31
Enoylity Technology,728000,2025-02-22 14:54:50,206461472,2025-02-22 14:54:50,51615.37,825845.89
Venom'S Tech,1130000,2025-02-22 14:54:50,291953175,2025-02-22 14:54:50,72988.29,1167812.7
Tech Blood,47100,2025-02-22 14:54:50,5061401,2025-02-22 14:54:50,1265.35,20245.6
Arc Technologies,25100,2025-02-22 14:54:51,4425450,2025-02-22 14:54:51,1106.36,17701.8
Tech,418000,2025-02-22 14:54:51,114225433,2025-02-22 14:54:51,28556.36,456901.73
O!Technology,43800,2025-02-22 14:54:51,12334603,2025-02-22 14:54:51,3083.65,49338.41
Tech Technology Pk,1780,2025-02-22 14:54:51,308381,2025-02-22 14:54:51,77.1,1233.52
General Technology Knowledge,37400,2025-02-22 14:54:52,4552271,2025-02-22 14:54:52,1138.07,18209.08
Satish Technology,21500,2025-02-22 14:54:52,2977322,2025-02-22 14:54:52,744.33,11909.29
Ibm Technology,1070000,2025-02-22 14:54:52,65313481,2025-02-22 14:54:52,16328.37,261253.92
Auxtics Technologies,40900,2025-02-22 14:54:52,4968437,2025-02-22 14:54:52,1242.11,19873.75
Technology Connextras,397000,2025-02-22 14:54:53,17322615,2025-02-22 14:54:53,4330.65,69290.46
Matt Talks Tech,681000,2025-02-22 14:54:53,188172135,2025-02-22 14:54:53,47043.03,752688.54
Sufiyan Technology,40100,2025-02-22 14:54:53,8023914,2025-02-22 14:54:53,2005.98,32095.66
Bcd Technology,573000,2025-02-22 14:54:54,91645775,2025-02-22 14:54:54,22911.44,366583.1
Swinburne University Of Technology,8900,2025-02-22 14:54:54,8220273,2025-02-22 14:54:54,2055.07,32881.09
"House Science, Space, And Technology Committee",5400,2025-02-22 14:54:54,885663,2025-02-22 14:54:54,221.42,3542.65
